grid_x,grid_y,s_nb_trp_total,s_nb_trp
2,6,0,0
52,3,0,0
45,3,0,0
3,6,0,0
53,3,0,0
46,3,0,0
4,6,0,0
54,3,0,0
47,3,0,0
5,6,0,0
55,3,0,0
48,3,0,0
6,6,0,0
56,3,0,0
49,3,0,0
7,6,0,0
57,3,0,0
50,3,0,0
8,6,0,0
58,3,0,0
9,6,0,0
51,3,0,0
59,3,0,0
10,6,0,0
60,3,0,0
52,3,0,0
11,6,0,0
61,3,0,0
53,3,0,0
12,6,0,0
62,3,0,0
54,3,0,0
13,6,0,0
63,3,0,0
14,6,0,0
55,3,0,0
64,3,0,0
56,3,0,0
15,6,0,0
65,3,0,0
57,3,0,0
16,6,0,0
66,3,0,0
58,3,0,0
17,6,0,0
0,4,0,0
59,3,0,0
1,4,0,0
18,6,0,0
60,3,0,0
19,6,0,0
2,4,0,0
61,3,0,0
3,4,0,0
20,6,0,0
62,3,0,0
4,4,0,0
21,6,0,0
63,3,0,0
5,4,0,0
22,6,0,0
64,3,0,0
6,4,0,0
23,6,0,0
65,3,0,0
7,4,0,0
66,3,0,0
24,6,0,0
8,4,0,0
25,6,0,0
0,4,0,0
9,4,0,0
26,6,0,0
1,4,0,0
10,4,0,0
27,6,0,0
2,4,0,0
11,4,0,0
28,6,0,0
3,4,0,0
12,4,0,0
29,6,0,0
13,4,0,0
4,4,0,0
30,6,0,0
14,4,0,0
5,4,0,0
31,6,0,0
15,4,0,0
6,4,0,0
32,6,0,0
16,4,0,0
33,6,0,0
7,4,0,0
17,4,0,0
34,6,1,1
8,4,0,0
18,4,0,0
35,7,2,1
9,4,0,0
19,4,0,0
36,6,0,0
20,4,0,0
10,4,0,0
37,6,0,0
21,4,0,0
11,4,0,0
38,6,0,0
22,4,0,0
12,4,0,0
39,6,0,0
23,4,0,0
40,6,0,0
13,4,0,0
24,4,0,0
41,6,0,0
14,4,0,0
25,4,0,0
15,4,0,0
42,6,0,0
26,4,0,0
16,4,0,0
43,6,0,0
27,4,0,0
17,4,0,0
44,6,0,0
28,4,0,0
18,4,0,0
45,6,0,0
29,4,0,0
19,4,0,0
46,6,0,0
30,4,0,0
20,4,0,0
47,6,0,0
31,4,0,0
21,4,0,0
48,6,0,0
32,4,0,0
22,4,0,0
49,6,0,0
23,4,0,0
33,4,0,0
50,6,0,0
34,4,0,0
24,4,0,0
51,6,0,0
35,4,0,0
52,6,0,0
25,4,0,0
36,4,0,0
53,6,0,0
26,4,0,0
37,4,0,0
54,6,0,0
27,4,0,0
38,4,0,0
55,6,0,0
28,4,0,0
29,4,0,0
40,5,0,0
56,6,0,0
57,6,0,0
30,4,0,0
40,4,0,0
31,4,0,0
58,6,0,0
41,4,0,0
32,4,0,0
59,6,0,0
42,4,0,0
33,4,0,0
43,4,0,0
60,6,0,0
34,4,0,0
44,4,0,0
61,6,0,0
35,4,0,0
62,6,0,0
45,4,0,0
63,6,0,0
36,4,0,0
46,4,0,0
64,6,0,0
47,4,0,0
37,4,0,0
65,6,0,0
48,4,0,0
38,4,0,0
66,6,0,0
40,5,0,0
49,4,0,0
40,4,0,0
0,7,0,0
50,4,0,0
41,4,0,0
1,7,0,0
51,4,0,0
42,4,0,0
2,7,0,0
52,4,0,0
3,7,0,0
43,4,0,0
53,4,0,0
4,7,0,0
44,4,0,0
54,4,0,0
5,7,0,0
45,4,0,0
55,4,0,0
6,7,0,0
46,4,0,0
56,4,0,0
7,7,0,0
47,4,0,0
57,4,0,0
8,7,0,0
58,4,0,0
48,4,0,0
9,7,0,0
59,4,0,0
49,4,0,0
10,7,0,0
60,4,0,0
50,4,0,0
61,4,0,0
11,7,0,0
51,4,0,0
62,4,0,0
12,7,0,0
52,4,0,0
63,4,0,0
13,7,0,0
53,4,0,0
64,4,0,0
14,7,0,0
54,4,0,0
65,4,0,0
15,7,0,0
55,4,0,0
66,4,0,0
16,7,0,0
56,4,0,0
0,5,0,0
17,7,0,0
57,4,0,0
1,5,0,0
18,7,0,0
58,4,0,0
2,5,0,0
59,4,0,0
19,7,0,0
3,5,0,0
20,7,0,0
60,4,0,0
4,5,0,0
61,4,0,0
5,5,0,0
21,7,0,0
6,5,0,0
62,4,0,0
22,7,0,0
63,4,0,0
23,7,0,0
7,5,0,0
24,7,0,0
64,4,0,0
8,5,0,0
25,7,0,0
65,4,0,0
9,5,0,0
26,7,0,0
66,4,0,0
10,5,0,0
27,7,0,0
0,5,0,0
11,5,0,0
28,7,0,0
1,5,0,0
12,5,0,0
2,5,0,0
29,7,0,0
13,5,0,0
3,5,0,0
30,7,0,0
14,5,0,0
4,5,0,0
31,7,0,0
15,5,0,0
5,5,0,0
34,7,0,0
16,5,0,0
6,5,0,0
33,7,0,0
17,5,0,0
7,5,0,0
34,7,0,0
8,5,0,0
18,5,0,0
38,7,0,0
9,5,0,0
19,5,0,0
36,7,0,0
10,5,0,0
20,5,0,0
37,7,0,0
11,5,0,0
21,5,0,0
38,7,0,0
12,5,0,0
39,7,0,0
22,5,0,0
13,5,0,0
23,5,0,0
40,7,0,0
14,5,0,0
41,7,0,0
24,5,0,0
15,5,0,0
42,7,0,0
25,5,0,0
26,5,0,0
43,7,0,0
16,5,0,0
17,5,0,0
44,7,0,0
27,5,0,0
18,5,0,0
45,7,0,0
28,5,0,0
46,7,0,0
19,5,0,0
29,5,0,0
47,7,0,0
20,5,0,0
30,6,0,0
48,7,0,0
21,5,0,0
31,5,0,0
49,7,0,0
22,5,0,0
32,5,0,0
50,7,0,0
23,5,0,0
33,5,0,0
51,7,0,0
24,5,0,0
34,5,0,0
52,7,0,0
25,5,0,0
35,5,0,0
53,7,0,0
26,5,0,0
37,5,0,0
54,7,0,0
27,5,0,0
37,5,0,0
28,5,0,0
55,7,0,0
38,5,0,0
39,5,0,0
56,7,0,0
29,5,0,0
57,7,0,0
30,6,0,0
40,5,0,0
58,7,0,0
31,5,0,0
41,5,0,0
59,7,0,0
32,5,0,0
42,5,0,0
60,7,0,0
43,5,0,0
33,5,0,0
61,7,0,0
34,5,0,0
44,5,0,0
62,7,0,0
35,5,0,0
45,5,0,0
63,7,0,0
37,5,0,0
64,7,0,0
46,5,0,0
37,5,0,0
47,5,0,0
65,7,0,0
38,5,0,0
66,7,0,0
48,5,0,0
39,5,0,0
0,8,0,0
49,5,0,0
40,5,0,0
1,8,0,0
50,5,0,0
2,8,0,0
41,5,0,0
51,5,0,0
42,5,0,0
3,8,0,0
52,5,0,0
43,5,0,0
4,8,0,0
53,5,0,0
44,5,0,0
54,5,0,0
5,8,0,0
45,5,0,0
6,8,0,0
55,5,0,0
7,8,0,0
46,5,0,0
56,5,0,0
47,5,0,0
8,8,0,0
57,5,0,0
48,5,0,0
9,8,0,0
58,5,0,0
49,5,0,0
10,8,0,0
59,5,0,0
50,5,0,0
11,8,0,0
60,5,0,0
51,5,0,0
12,8,0,0
61,5,0,0
52,5,0,0
13,8,0,0
62,5,0,0
53,5,0,0
14,8,0,0
63,5,0,0
54,5,0,0
15,8,0,0
64,5,0,0
55,5,0,0
16,8,0,0
65,5,0,0
56,5,0,0
17,8,0,0
66,5,0,0
57,5,0,0
18,8,0,0
0,6,0,0
58,5,0,0
19,8,0,0
1,6,0,0
59,5,0,0
20,8,0,0
2,6,0,0
21,8,0,0
60,5,0,0
3,6,0,0
61,5,0,0
22,8,0,0
4,6,0,0
62,5,0,0
5,6,0,0
23,8,0,0
24,8,0,0
6,6,0,0
63,5,0,0
7,6,0,0
64,5,0,0
25,8,0,0
65,5,0,0
8,6,0,0
26,8,0,0
66,5,0,0
9,6,0,0
27,8,0,0
0,6,0,0
28,8,0,0
10,6,0,0
1,6,0,0
29,8,0,0
11,6,0,0
2,6,0,0
30,8,0,0
12,6,0,0
3,6,0,0
31,8,0,0
13,6,0,0
4,6,0,0
32,7,0,0
14,6,0,0
5,6,0,0
33,8,0,0
15,6,0,0
6,6,0,0
16,6,0,0
34,8,0,0
7,6,0,0
17,6,0,0
8,6,0,0
35,8,0,0
18,6,0,0
36,8,0,0
9,6,0,0
19,6,0,0
37,8,0,0
10,6,0,0
20,6,0,0
38,8,0,0
11,6,0,0
21,6,0,0
39,8,0,0
12,6,0,0
40,8,0,0
13,6,0,0
22,6,0,0
41,8,0,0
14,6,0,0
23,6,0,0
42,8,0,0
15,6,0,0
24,6,0,0
16,6,0,0
43,8,0,0
25,6,0,0
17,6,0,0
26,6,0,0
44,8,0,0
18,6,0,0
27,6,0,0
45,8,0,0
19,6,0,0
46,8,0,0
28,6,0,0
20,6,0,0
29,6,0,0
47,8,0,0
21,6,0,0
30,6,0,0
48,8,0,0
22,6,0,0
31,6,0,0
49,8,0,0
23,6,0,0
50,8,0,0
32,6,0,0
24,6,0,0
33,6,0,0
51,8,0,0
25,6,0,0
34,6,1,1
26,6,0,0
52,8,0,0
27,6,0,0
35,7,2,1
53,8,0,0
28,6,0,0
36,6,0,0
54,8,0,0
29,6,0,0
37,6,0,0
55,8,0,0
30,6,0,0
56,8,0,0
38,6,0,0
31,6,0,0
57,8,0,0
39,6,0,0
40,6,0,0
32,6,0,0
58,8,0,0
59,8,0,0
41,6,0,0
33,6,0,0
34,6,1,1
42,6,0,0
60,8,0,0
35,7,1,1
61,8,0,0
43,6,0,0
36,6,0,0
62,8,0,0
44,6,0,0
37,6,0,0
63,8,0,0
45,6,0,0
38,6,0,0
64,8,0,0
39,6,0,0
46,6,0,0
65,8,0,0
40,6,0,0
66,8,0,0
47,6,0,0
41,6,0,0
48,6,0,0
0,9,0,0
42,6,0,0
1,9,0,0
49,6,0,0
43,6,0,0
50,6,0,0
2,9,0,0
44,6,0,0
45,6,0,0
3,9,0,0
51,6,0,0
52,6,0,0
46,6,0,0
4,9,0,0
53,6,0,0
5,9,0,0
47,6,0,0
54,6,0,0
48,6,0,0
6,9,0,0
55,6,0,0
7,9,0,0
49,6,0,0
56,6,0,0
50,6,0,0
8,9,0,0
57,6,0,0
51,6,0,0
9,9,0,0
58,6,0,0
52,6,0,0
10,9,0,0
53,6,0,0
59,6,0,0
11,9,0,0
54,6,0,0
60,6,0,0
55,6,0,0
12,9,0,0
61,6,0,0
56,6,0,0
13,9,0,0
62,6,0,0
57,6,0,0
14,9,0,0
63,6,0,0
58,6,0,0
64,6,0,0
15,9,0,0
59,6,0,0
65,6,0,0
16,9,0,0
60,6,0,0
66,6,0,0
17,9,0,0
61,6,0,0
0,7,0,0
18,9,0,0
62,6,0,0
1,7,0,0
19,9,0,0
63,6,0,0
2,7,0,0
20,9,0,0
64,6,0,0
3,7,0,0
21,9,0,0
65,6,0,0
4,7,0,0
22,9,0,0
66,6,0,0
5,7,0,0
23,9,0,0
0,7,0,0
6,7,0,0
24,9,0,0
1,7,0,0
7,7,0,0
25,9,0,0
2,7,0,0
8,7,0,0
26,9,0,0
3,7,0,0
9,7,0,0
27,9,0,0
4,7,0,0
10,7,0,0
28,9,0,0
5,7,0,0
11,7,0,0
30,8,0,0
6,7,0,0
12,7,0,0
7,7,0,0
30,9,0,0
13,7,0,0
8,7,0,0
31,9,0,0
14,7,0,0
9,7,0,0
32,9,0,0
15,7,0,0
10,7,0,0
33,9,2,1
16,7,0,0
11,7,0,0
33,9,2,1
12,7,0,0
17,7,0,0
35,9,28,1
18,7,0,0
36,9,0,0
13,7,0,0
19,7,0,0
37,9,0,0
14,7,0,0
38,9,0,0
15,7,0,0
20,7,0,0
21,7,0,0
16,7,0,0
39,9,0,0
22,7,0,0
17,7,0,0
40,9,0,0
23,7,0,0
18,7,0,0
41,9,0,0
24,7,0,0
19,7,0,0
42,9,0,0
25,7,0,0
26,7,0,0
43,9,0,0
20,7,0,0
27,7,0,0
21,7,0,0
44,10,0,0
28,7,0,0
22,7,0,0
45,9,0,0
23,7,0,0
29,7,0,0
46,9,0,0
24,7,0,0
30,7,0,0
47,9,0,0
48,9,0,0
31,7,0,0
25,7,0,0
49,9,0,0
34,7,0,0
26,7,0,0
27,7,0,0
50,9,0,0
33,7,0,0
28,7,0,0
51,9,0,0
34,7,0,0
29,7,0,0
52,9,0,0
38,7,0,0
30,7,0,0
36,7,0,0
53,9,0,0
37,7,0,0
54,9,0,0
31,7,0,0
38,7,0,0
55,9,0,0
34,7,0,0
56,9,0,0
39,7,0,0
33,7,0,0
57,9,0,0
34,7,0,0
40,7,0,0
58,9,0,0
41,7,0,0
38,7,0,0
59,9,0,0
42,7,0,0
36,7,0,0
60,9,0,0
43,7,0,0
37,7,0,0
61,9,0,0
44,7,0,0
38,7,0,0
62,9,0,0
45,7,0,0
39,7,0,0
63,9,0,0
46,7,0,0
40,7,0,0
64,9,0,0
47,7,0,0
41,7,0,0
65,9,0,0
48,7,0,0
66,9,0,0
42,7,0,0
49,7,0,0
0,10,0,0
43,7,0,0
50,7,0,0
1,10,0,0
44,7,0,0
51,7,0,0
2,10,0,0
45,7,0,0
3,10,0,0
52,7,0,0
46,7,0,0
4,10,0,0
53,7,0,0
5,10,0,0
47,7,0,0
54,7,0,0
6,10,0,0
48,7,0,0
55,7,0,0
7,10,0,0
49,7,0,0
56,7,0,0
8,10,0,0
50,7,0,0
57,7,0,0
9,10,0,0
51,7,0,0
58,7,0,0
10,10,0,0
52,7,0,0
59,7,0,0
11,10,0,0
53,7,0,0
60,7,0,0
12,10,0,0
54,7,0,0
61,7,0,0
13,10,0,0
55,7,0,0
62,7,0,0
14,10,0,0
56,7,0,0
63,7,0,0
15,10,0,0
57,7,0,0
33,16,265,1
64,7,0,0
58,7,0,0
17,10,0,0
65,7,0,0
59,7,0,0
18,10,0,0
66,7,0,0
60,7,0,0
0,8,0,0
19,10,0,0
61,7,0,0
1,8,0,0
20,10,0,0
62,7,0,0
2,8,0,0
21,10,0,0
63,7,0,0
22,10,0,0
3,8,0,0
64,7,0,0
4,8,0,0
23,10,0,0
65,7,0,0
5,8,0,0
24,10,0,0
66,7,0,0
25,10,0,0
6,8,0,0
0,8,0,0
26,10,0,0
1,8,0,0
7,8,0,0
27,10,0,0
2,8,0,0
8,8,0,0
28,10,0,0
3,8,0,0
9,8,0,0
4,8,0,0
29,10,0,0
10,8,0,0
11,8,0,0
30,10,0,0
5,8,0,0
12,8,0,0
31,10,0,0
6,8,0,0
13,8,0,0
7,8,0,0
32,10,0,0
33,10,0,0
14,8,0,0
8,8,0,0
9,8,0,0
15,8,0,0
34,10,0,0
35,10,1,1
10,8,0,0
16,8,0,0
36,10,0,0
11,8,0,0
17,8,0,0
37,10,12,1
12,8,0,0
18,8,0,0
13,8,0,0
19,8,0,0
38,10,0,0
20,8,0,0
14,8,0,0
39,10,0,0
21,8,0,0
15,8,0,0
39,10,0,0
22,8,0,0
41,10,0,0
16,8,0,0
23,8,0,0
42,10,0,0
17,8,0,0
24,8,0,0
43,10,0,0
18,8,0,0
25,8,0,0
44,10,0,0
19,8,0,0
26,8,0,0
45,10,0,0
20,8,0,0
27,8,0,0
21,8,0,0
28,8,0,0
46,10,0,0
22,8,0,0
47,10,0,0
29,8,0,0
23,8,0,0
48,10,0,0
30,8,0,0
24,8,0,0
31,8,0,0
49,10,0,0
25,8,0,0
32,7,0,0
50,10,0,0
26,8,0,0
33,8,0,0
51,10,0,0
27,8,0,0
34,8,0,0
52,10,0,0
28,8,0,0
35,8,0,0
53,10,0,0
29,8,0,0
54,10,0,0
36,8,0,0
30,8,0,0
55,10,0,0
37,8,0,0
56,10,0,0
31,8,0,0
38,8,0,0
57,10,0,0
32,7,0,0
39,8,0,0
58,10,0,0
33,8,0,0
40,8,0,0
59,10,0,0
41,8,0,0
34,8,1,1
60,10,0,0
42,8,0,0
35,8,0,0
61,10,0,0
36,8,0,0
43,8,0,0
62,10,0,0
37,8,0,0
44,8,0,0
63,10,0,0
38,8,0,0
45,8,0,0
64,10,0,0
39,8,0,0
46,8,0,0
65,10,0,0
47,8,0,0
40,8,0,0
66,10,0,0
41,8,0,0
48,8,0,0
0,11,0,0
42,8,0,0
49,8,0,0
43,8,0,0
1,11,0,0
50,8,0,0
51,8,0,0
2,11,0,0
44,8,0,0
52,8,0,0
3,11,0,0
45,8,0,0
53,8,0,0
46,8,0,0
4,11,0,0
54,8,0,0
47,8,0,0
5,11,0,0
55,8,0,0
48,8,0,0
6,11,0,0
56,8,0,0
49,8,0,0
7,11,0,0
57,8,0,0
50,8,0,0
8,11,0,0
58,8,0,0
51,8,0,0
9,11,0,0
59,8,0,0
52,8,0,0
60,8,0,0
10,11,0,0
53,8,0,0
61,8,0,0
11,11,0,0
54,8,0,0
12,11,0,0
62,8,0,0
55,8,0,0
13,11,0,0
63,8,0,0
56,8,0,0
14,11,0,0
64,8,0,0
57,8,0,0
15,11,0,0
65,8,0,0
58,8,0,0
16,11,0,0
66,8,0,0
59,8,0,0
17,11,0,0
0,9,0,0
60,8,0,0
18,11,0,0
1,9,0,0
61,8,0,0
19,11,0,0
2,9,0,0
62,8,0,0
20,11,0,0
3,9,0,0
21,11,0,0
4,9,0,0
63,8,0,0
64,8,0,0
22,11,0,0
5,9,0,0
23,11,0,0
65,8,0,0
6,9,0,0
24,11,0,0
66,8,0,0
7,9,0,0
25,11,0,0
0,9,0,0
8,9,0,0
26,11,0,0
1,9,0,0
9,9,0,0
27,11,0,0
2,9,0,0
10,9,0,0
28,11,0,0
3,9,0,0
11,9,0,0
29,11,0,0
12,9,0,0
4,9,0,0
30,11,0,0
13,9,0,0
5,9,0,0
31,11,0,0
14,9,0,0
6,9,0,0
32,11,217,1
15,9,0,0
33,11,1,1
7,9,0,0
16,9,0,0
8,9,0,0
34,11,0,0
17,9,0,0
9,9,0,0
35,11,0,0
18,9,0,0
10,9,0,0
36,11,0,0
19,9,0,0
11,9,0,0
37,11,1,1
20,9,0,0
38,11,0,0
12,9,0,0
39,11,0,0
21,9,0,0
13,9,0,0
40,11,0,0
22,9,0,0
14,9,0,0
41,11,0,0
23,9,0,0
15,9,0,0
42,11,0,0
24,9,0,0
16,9,0,0
43,11,0,0
25,9,0,0
17,9,0,0
44,11,0,0
26,9,0,0
18,9,0,0
45,10,0,0
27,9,0,0
19,9,0,0
46,11,0,0
28,9,0,0
20,9,0,0
47,11,0,0
21,9,0,0
30,8,0,0
48,11,0,0
22,9,0,0
30,9,0,0
49,11,0,0
23,9,0,0
31,9,0,0
50,11,0,0
24,9,0,0
32,9,0,0
51,11,0,0
33,9,2,1
25,9,0,0
52,11,0,0
33,9,2,1
26,9,0,0
53,11,0,0
35,9,28,1
27,9,0,0
54,11,0,0
36,9,0,0
28,9,0,0
55,11,0,0
37,9,0,0
30,8,0,0
56,11,0,0
30,9,0,0
38,9,0,0
57,11,0,0
31,9,0,0
39,9,0,0
58,11,0,0
32,9,0,0
40,9,0,0
59,11,0,0
33,9,1,1
41,9,0,0
33,9,2,1
60,11,0,0
42,9,0,0
35,9,29,1
61,11,0,0
43,9,0,0
36,9,0,0
62,11,0,0
44,10,0,0
63,11,0,0
37,9,0,0
45,9,0,0
64,11,0,0
38,9,0,0
46,9,0,0
65,11,0,0
39,9,0,0
47,9,0,0
66,11,0,0
48,9,0,0
40,9,0,0
0,12,0,0
49,9,0,0
41,9,0,0
1,12,0,0
50,9,0,0
42,9,0,0
2,12,0,0
51,9,0,0
3,12,0,0
43,9,0,0
52,9,0,0
44,10,0,0
4,12,0,0
53,9,0,0
5,12,0,0
45,9,0,0
54,9,0,0
6,12,0,0
55,9,0,0
46,9,0,0
56,9,0,0
7,12,0,0
47,9,0,0
8,12,0,0
57,9,0,0
48,9,0,0
58,9,0,0
49,9,0,0
9,12,0,0
59,9,0,0
50,9,0,0
10,12,0,0
60,9,0,0
51,9,0,0
11,12,0,0
61,9,0,0
52,9,0,0
12,12,0,0
62,9,0,0
53,9,0,0
13,12,0,0
63,9,0,0
54,9,0,0
14,12,0,0
64,9,0,0
55,9,0,0
15,12,0,0
65,9,0,0
56,9,0,0
16,12,0,0
66,9,0,0
57,9,0,0
17,12,0,0
0,10,0,0
18,12,0,0
58,9,0,0
1,10,0,0
19,12,0,0
2,10,0,0
59,9,0,0
20,12,0,0
3,10,0,0
60,9,0,0
4,10,0,0
21,12,0,0
61,9,0,0
5,10,0,0
22,12,0,0
62,9,0,0
23,12,0,0
6,10,0,0
63,9,0,0
7,10,0,0
24,12,0,0
64,9,0,0
8,10,0,0
25,12,0,0
65,9,0,0
9,10,0,0
26,12,0,0
66,9,0,0
10,10,0,0
27,12,0,0
0,10,0,0
11,10,0,0
28,12,0,0
1,10,0,0
12,10,0,0
29,12,0,0
2,10,0,0
13,10,0,0
30,12,0,0
14,10,0,0
3,10,0,0
4,10,0,0
15,10,0,0
31,12,0,0
5,10,0,0
33,16,265,1
32,12,1,1
6,10,0,0
17,10,0,0
7,10,0,0
33,12,1,1
18,10,0,0
8,10,0,0
34,12,0,0
19,10,0,0
9,10,0,0
20,10,0,0
35,12,1,1
10,10,0,0
21,10,0,0
36,12,1,1
11,10,0,0
22,10,0,0
37,12,0,0
12,10,0,0
38,12,1,1
23,10,0,0
13,10,0,0
39,12,193,1
24,10,0,0
14,10,0,0
40,13,0,0
25,10,0,0
15,10,0,0
41,12,0,0
26,10,0,0
33,16,266,1
42,12,0,0
27,10,0,0
17,10,0,0
43,13,0,0
28,10,0,0
18,10,0,0
44,12,0,0
19,10,0,0
45,12,0,0
29,10,0,0
30,10,0,0
20,10,0,0
46,12,0,0
21,10,0,0
31,10,0,0
47,12,0,0
22,10,0,0
32,10,0,0
48,12,0,0
23,10,0,0
49,12,0,0
33,10,0,0
50,12,0,0
24,10,0,0
34,10,0,0
51,12,0,0
35,10,1,1
25,10,0,0
52,12,0,0
36,10,0,0
26,10,0,0
53,12,0,0
37,10,12,1
27,10,0,0
54,12,0,0
38,10,0,0
28,10,0,0
55,12,0,0
29,10,0,0
39,10,0,0
56,12,0,0
30,10,0,0
39,10,0,0
57,12,0,0
31,10,0,0
41,10,0,0
58,12,0,0
42,10,0,0
32,10,0,0
59,12,0,0
43,10,0,0
33,10,0,0
60,12,0,0
44,10,0,0
34,10,0,0
61,12,0,0
35,10,1,1
45,10,0,0
62,12,0,0
36,10,0,0
46,10,0,0
63,12,0,0
37,10,13,1
47,10,0,0
64,12,0,0
48,10,0,0
38,10,0,0
65,12,0,0
49,10,0,0
39,10,0,0
66,12,0,0
39,10,0,0
50,10,0,0
0,13,0,0
41,10,0,0
1,13,0,0
51,10,0,0
42,10,0,0
2,13,0,0
52,10,0,0
43,10,0,0
53,10,0,0
3,13,0,0
44,10,0,0
54,10,0,0
4,13,0,0
45,10,0,0
5,13,0,0
55,10,0,0
46,10,0,0
6,13,0,0
56,10,0,0
47,10,0,0
7,13,0,0
57,10,0,0
48,10,0,0
58,10,0,0
8,13,0,0
49,10,0,0
9,13,0,0
59,10,0,0
50,10,0,0
10,13,0,0
60,10,0,0
51,10,0,0
11,13,0,0
61,10,0,0
52,10,0,0
12,13,0,0
53,10,0,0
62,10,0,0
13,13,0,0
54,10,0,0
63,10,0,0
14,13,0,0
55,10,0,0
64,10,0,0
15,13,0,0
56,10,0,0
65,10,0,0
16,13,0,0
57,10,0,0
58,10,0,0
66,10,0,0
17,13,0,0
18,13,0,0
0,11,0,0
59,10,0,0
1,11,0,0
60,10,0,0
19,13,0,0
2,11,0,0
61,10,0,0
20,13,0,0
3,11,0,0
62,10,0,0
21,13,0,0
4,11,0,0
63,10,0,0
5,11,0,0
22,13,0,0
64,10,0,0
23,13,0,0
6,11,0,0
65,10,0,0
7,11,0,0
24,13,0,0
66,10,0,0
8,11,0,0
25,13,0,0
9,11,0,0
0,11,0,0
26,13,0,0
10,11,0,0
1,11,0,0
27,13,0,0
11,11,0,0
2,11,0,0
28,13,0,0
12,11,0,0
3,11,0,0
29,13,0,0
13,11,0,0
4,11,0,0
30,13,0,0
14,11,0,0
5,11,0,0
31,13,0,0
15,11,0,0
6,11,0,0
32,13,0,0
16,11,0,0
7,11,0,0
33,13,0,0
17,11,0,0
8,11,0,0
34,13,0,0
18,11,0,0
35,13,4,1
9,11,0,0
19,11,0,0
36,13,0,0
20,11,0,0
10,11,0,0
31,15,265,1
11,11,0,0
21,11,0,0
12,11,0,0
22,11,0,0
38,13,0,0
13,11,0,0
23,11,0,0
39,13,0,0
14,11,0,0
24,11,0,0
40,13,1,1
15,11,0,0
25,11,0,0
41,13,0,0
16,11,0,0
26,11,0,0
42,12,0,0
27,11,0,0
17,11,0,0
42,13,0,0
28,11,0,0
18,11,0,0
44,13,0,0
29,11,0,0
19,11,0,0
30,11,0,0
45,13,0,0
20,11,0,0
31,11,0,0
46,13,0,0
21,11,0,0
32,11,217,1
47,13,0,0
22,11,0,0
33,11,1,1
48,13,0,0
34,11,0,0
23,11,0,0
49,13,0,0
24,11,0,0
35,11,0,0
50,13,0,0
36,11,0,0
25,11,0,0
51,13,0,0
26,11,0,0
37,11,0,0
52,13,0,0
27,11,0,0
38,11,1,1
53,13,0,0
28,11,0,0
39,11,0,0
54,13,0,0
40,11,0,0
55,13,0,0
29,11,0,0
41,11,0,0
56,13,0,0
30,11,0,0
42,11,0,0
57,13,0,0
31,11,0,0
58,13,0,0
43,11,0,0
32,11,217,1
44,11,0,0
59,13,0,0
33,11,1,1
45,10,0,0
60,13,0,0
34,11,0,0
46,11,0,0
35,11,0,0
61,13,0,0
47,11,0,0
36,11,0,0
62,13,0,0
63,13,0,0
48,11,0,0
37,11,0,0
49,11,0,0
64,13,0,0
38,11,0,0
50,11,0,0
39,11,0,0
65,13,0,0
51,11,0,0
66,13,0,0
40,11,0,0
41,11,0,0
0,14,0,0
52,11,0,0
42,11,0,0
1,14,0,0
53,11,0,0
43,11,0,0
54,11,0,0
2,14,0,0
44,11,0,0
55,11,0,0
3,14,0,0
45,10,0,0
56,11,0,0
4,14,0,0
46,11,0,0
57,11,0,0
5,14,0,0
47,11,0,0
58,11,0,0
6,14,0,0
48,11,0,0
59,11,0,0
49,11,0,0
7,14,0,0
60,11,0,0
50,11,0,0
8,14,0,0
61,11,0,0
9,14,0,0
51,11,0,0
62,11,0,0
10,14,0,0
52,11,0,0
63,11,0,0
11,14,0,0
53,11,0,0
64,11,0,0
12,14,0,0
54,11,0,0
65,11,0,0
13,14,0,0
55,11,0,0
66,11,0,0
56,11,0,0
14,14,0,0
0,12,0,0
15,14,0,0
1,12,0,0
57,11,0,0
2,12,0,0
16,14,0,0
58,11,0,0
3,12,0,0
59,11,0,0
17,14,0,0
4,12,0,0
18,14,0,0
5,12,0,0
60,11,0,0
19,14,0,0
6,12,0,0
61,11,0,0
20,14,0,0
7,12,0,0
62,11,0,0
21,14,0,0
63,11,0,0
8,12,0,0
22,14,0,0
64,11,0,0
9,12,0,0
65,11,0,0
23,14,0,0
10,12,0,0
66,11,0,0
24,14,0,0
11,12,0,0
0,12,0,0
25,14,0,0
12,12,0,0
1,12,0,0
13,12,0,0
26,14,0,0
2,12,0,0
14,12,0,0
27,14,0,0
15,12,0,0
3,12,0,0
28,14,0,0
16,12,0,0
4,12,0,0
29,14,0,0
17,12,0,0
5,12,0,0
30,14,0,0
18,12,0,0
6,12,0,0
31,14,14,1
19,12,0,0
7,12,0,0
32,14,1,1
20,12,0,0
33,14,0,0
8,12,0,0
34,14,1,1
21,12,0,0
9,12,0,0
35,14,1,1
22,12,0,0
10,12,0,0
36,14,0,0
23,12,0,0
11,12,0,0
37,14,0,0
12,12,0,0
24,12,0,0
38,14,0,0
13,12,0,0
25,12,0,0
39,14,0,0
26,12,0,0
14,12,0,0
40,14,1,1
27,12,0,0
15,12,0,0
41,15,1,1
28,12,0,0
16,12,0,0
42,14,0,0
29,12,0,0
17,12,0,0
30,12,0,0
43,14,0,0
18,12,0,0
31,12,0,0
44,14,0,0
19,12,0,0
32,12,1,1
45,14,0,0
20,12,0,0
46,14,0,0
33,12,1,1
21,12,0,0
